run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;grave_search_count
62;2423.150253345;-5530;-3908;-3365;40;20;3035782
3;2545.366529824;-5129;-4540;-4128;42;21;4842725
0;3140.843624144;-5455;-4752;-3387;52;26;5152508
6;3627.770648878;-5668;-4779;-3220;60;30;4819714
73;3749.227226022;-5647;-3662;-2887;62;31;4018811
50;3875.563285218;-5424;-4962;-3912;64;32;5575446
71;4103.295178669;-4953;-4773;-4596;68;34;7877068
75;4723.733831629;-6186;-5146;-1533;78;39;5280082
25;4832.636562097;-5707;-4664;-3215;80;40;6640498
12;5192.706412004;-6510;-2908;-171;86;43;4924493
1;2061.171902595;-5081;-4082;-4593;34;17;3791733
37;6522.04735627;-6082;-4944;-1943;108;54;10700270
74;2783.115025258;-5346;-4459;-4729;46;23;4924907
72;3145.635543361;-5555;-4744;-3409;52;26;4420786
76;3022.5206763;-4794;-4155;-5110;50;25;5359137
26;3021.874245144;-6404;-1662;-388;50;25;1955860
63;5672.268706928;-5402;-5109;-3047;94;47;9839047
31;8589.699611979;-6304;-5009;-488;142;71;7054947
51;5429.984567641;-5546;-3539;-2063;90;45;8067803
68;9425.231369127;-6480;-3719;-219;156;78;7165959
4;6890.17166018;-6485;-3343;-454;114;57;4736964
18;9674.554896688;-6397;-5756;-410;160;80;10121222
27;2307.029954288;-5398;-4138;-3110;38;19;2779399
7;6650.174858095;-5874;-5193;-2454;110;55;8743160
2;5556.969839794;-6315;-3995;-796;92;46;4989979
38;4595.452065027;-5623;-4808;-3100;76;38;7098735
32;2910.692176791;-4672;-3248;-3899;48;24;2511089
13;6653.697921853;-5469;-4756;-2915;110;55;8242741
15;4598.541910257;-6078;-4115;-1379;76;38;4153429
87;5784.85271294;-5210;-4795;-4763;96;48;13129769
69;3628.641463832;-5715;-4063;-2128;60;30;5756820
5;3744.359523332;-5543;-4016;-2667;62;31;4295329
39;2179.64105439;-5082;-4560;-5130;36;18;4497698
16;1817.948066005;-4613;-4154;-6088;30;15;6662758
52;4714.538222717;-5590;-4510;-2795;78;39;5970786
19;4474.802917687;-6169;-3857;-1282;74;37;4851183
43;4838.220630902;-5519;-4709;-3063;80;40;6482927
