run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
4;5016.200728285;-5687;-4247;-3808;30;15
6;5810.31199105;-5940;-4484;-4011;38;19
75;5985.807255379;-5801;-3785;-3257;32;16
12;6097.55513873;-5414;-3210;-2771;28;14
3;6429.360474023;-5627;-4244;-3394;36;18
18;6721.812764284;-5861;-3592;-3067;30;15
10;7860.212848624;-5858;-3538;-2692;36;18
0;10214.187573342;-6022;-4588;-2366;52;26
9;11271.85818292;-6243;-3138;-995;42;21
31;11885.188117001;-6034;-2697;-1975;44;22
56;5721.926171251;-5205;-3797;-4084;32;16
7;8479.025963493;-5732;-3676;-2286;44;22
32;4191.249215033;-5010;-4469;-5243;36;18
5;12363.302766681;-5923;-3777;-1760;46;23
25;17443.177594812;-6383;-2320;-551;52;26
11;11582.894259545;-5926;-3309;-1489;42;21
76;13574.902295854;-6140;-2575;-904;54;27
8;6370.631059073;-5670;-3556;-3085;32;16
57;8853.144252194;-5768;-3416;-2520;38;19
62;21176.181591928;-6346;-3121;-555;66;33
1;11505.864020288;-6065;-3629;-1611;48;24
19;15204.612966423;-6525;-1075;-212;34;17
50;22306.467466514;-6459;-2058;-172;56;28
37;22795.589067482;-6231;-4202;-626;76;38
13;19399.642007508;-6325;-3165;-638;62;31
21;8222.358054476;-5871;-2345;-1818;30;15
34;6525.45878956;-5657;-3740;-3084;36;18
26;10243.569853011;-5787;-2388;-1700;36;18
2;6032.137973549;-5421;-2260;-2522;26;13
77;8627.85625662;-5903;-4121;-2056;38;19
23;7679.970600482;-5398;-3844;-3253;42;21
33;13056.42949108;-6361;-1291;-442;36;18
87;17895.593032146;-6480;-874;-144;46;23
58;8630.429241744;-5909;-2952;-2180;34;17
20;8102.824477832;-5764;-1681;-1380;26;13
60;4196.354720363;-4998;-4113;-5366;30;15
22;9611.280120002;-6120;-3437;-1716;38;19
51;12934.391783798;-6504;-4345;-959;62;31
35;9396.805512109;-5923;-3766;-2085;44;22
63;14197.512460391;-6311;-3142;-895;50;25
53;6859.932982854;-5228;-4141;-3599;42;21
27;10859.581189728;-6552;-268;-63;28;14
78;11049.39309178;-6211;-1550;-571;36;18
52;7167.346463248;-5173;-3751;-3903;38;19
64;7937.000776454;-5568;-3091;-1808;38;19
38;20657.594281049;-6298;-3928;-604;70;35
59;14026.4617413;-5957;-4386;-2185;58;29
28;16089.591311967;-6195;-2176;-614;48;24
54;9346.000455444;-6138;-4395;-1725;42;21
61;11203.475010704;-6154;-2344;-1197;34;17
24;17102.203969815;-6083;-4378;-1545;64;32
79;7635.984273024;-5627;-3929;-3040;36;18
29;12255.429386924;-6541;-334;-49;30;15
88;19494.854098614;-6379;-3015;-798;60;30
93;6466.859620916;-5881;-4563;-2775;38;19
14;24322.712366869;-6528;-1749;-171;58;29
36;19332.150418924;-6436;-3314;-340;60;30
66;8081.312525586;-5538;-3937;-2908;42;21
15;5885.332775473;-5827;-3954;-2940;34;17
30;9119.420052167;-6166;-2040;-1080;32;16
39;13204.384937513;-6161;-4479;-861;60;30
80;11764.029609094;-6068;-2765;-1704;40;20
81;11837.451751739;-6198;-3909;-1064;50;25
94;8637.67224073;-5703;-4318;-3114;50;25
65;15924.072334954;-6213;-3153;-756;48;24
43;21405.830106081;-6435;-1347;-120;52;26
17;4152.780747374;-5259;-4341;-4737;30;15
55;15483.36337541;-6121;-3684;-1394;60;30
90;17691.785138936;-6497;-4873;-480;70;35
89;13169.60255279;-6347;-2277;-678;38;19
44;3084.034541814;-4597;-3636;-5145;26;13
96;4549.581198806;-5263;-4677;-4834;36;18
40;9647.106351574;-5999;-3946;-1632;46;23
95;7879.863107669;-5686;-3728;-2756;36;18
42;4308.071889578;-5030;-3939;-4737;30;15
98;6377.851908812;-5575;-3686;-3418;30;15
68;24276.655084233;-6293;-3381;-866;76;38
92;10980.881600161;-6142;-3033;-1941;36;18
97;4590.406472743;-5265;-3302;-3956;26;13
84;3504.967110161;-5093;-4131;-5182;30;15
49;3417.717134824;-5353;-4861;-5142;34;17
45;9446.678112856;-5863;-2983;-1705;36;18
48;7334.383742987;-5914;-3771;-2476;38;19
69;5383.976374339;-5479;-3944;-3910;32;16
46;12559.925514351;-5977;-3144;-1697;46;23
82;16501.348873832;-6272;-2813;-606;54;27
41;12983.257946752;-5864;-4231;-2025;56;28
73;5673.898027115;-5500;-3659;-3320;32;16
91;18843.774105576;-6053;-3959;-1438;80;40
71;7546.865691034;-5749;-5377;-2646;54;27
67;21679.174670818;-6420;-2487;-468;64;32
85;8126.457042507;-5603;-4320;-3104;64;32
16;23804.974354937;-6341;-4799;-444;90;45
86;8971.60107201;-6240;-964;-446;32;16
47;6334.727547304;-5737;-4471;-2308;46;23
72;4117.820075677;-5386;-3575;-3912;28;14
99;12727.910957773;-6170;-2730;-1486;48;24
70;8946.619910021;-6367;-1915;-808;40;20
83;10346.093271612;-6102;-3495;-746;56;28
74;17331.846141384;-6336;-3464;-707;72;36
