run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
125;2655.671701707;-5398;-4317;-1966;108;27
93;3469.091576508;-6115;-2786;-822;84;21
0;3670.532501878;-6081;-4514;-725;112;28
94;906.292779167;-4492;-3758;-2811;60;15
126;4124.257601877;-5758;-3306;-979;108;27
1;5186.821186788;-6073;-3172;-518;124;31
127;2706.614566866;-5829;-4719;-1444;124;31
95;5341.524413818;-6239;-3569;-535;144;36
96;1541.571504829;-5680;-5157;-2114;84;21
128;1800.539805129;-4844;-3931;-2666;84;21
2;4028.000842565;-6056;-1229;-512;80;20
62;14039.150484417;-6550;-1629;-24;224;56
3;2252.563044817;-5128;-3648;-1946;88;22
97;5203.066868309;-5707;-2527;-967;112;28
129;6434.901652082;-6298;-2025;-370;132;33
4;2687.966015256;-5891;-4702;-1824;128;32
63;4020.460594706;-5691;-3373;-1109;140;35
5;3722.554403489;-5368;-3504;-1686;124;31
98;6178.856593249;-6190;-2837;-606;144;36
130;5945.660829334;-5928;-4451;-689;172;43
99;2914.465214153;-5945;-5441;-1614;124;31
6;4313.640031154;-6285;-4072;-719;144;36
64;7879.619285411;-6443;-2404;-238;156;39
100;1738.251900424;-4938;-3645;-2291;76;19
7;3811.879021058;-5852;-4258;-1505;120;30
101;5754.384116943;-6171;-3360;-662;136;34
65;9078.386250944;-6215;-3516;-479;248;62
102;2760.884218738;-6055;-4695;-1175;104;26
8;6739.976911432;-6283;-3587;-446;152;38
131;12838.92138395;-6497;-2911;-157;252;63
103;1606.490886248;-5327;-4817;-2828;100;25
132;1164.912697837;-4351;-3650;-2953;64;16
66;4959.060524327;-6374;-1757;-257;104;26
9;4104.000699936;-6104;-2734;-709;112;28
104;3639.927624042;-6170;-1518;-315;84;21
133;3643.475280552;-6066;-3854;-924;128;32
134;2342.651175748;-5809;-5030;-1902;128;32
105;2805.314290718;-6176;-4407;-1049;104;26
67;5081.283608898;-6120;-3328;-676;148;37
10;8951.534298566;-6485;-2583;-119;180;45
135;6801.128352731;-6441;-3127;-348;152;38
68;6744.691954204;-6255;-4981;-534;184;46
106;8395.98910333;-6511;-2723;-102;156;39
69;1877.382355769;-5458;-3107;-1925;72;18
136;3618.095756166;-5962;-5047;-1632;156;39
107;2259.138446449;-5190;-4401;-2237;108;27
11;5960.844332032;-6186;-3850;-718;156;39
70;3554.362528541;-5744;-4914;-1428;168;42
137;4347.016858701;-6023;-3482;-777;128;32
12;4517.359652725;-6049;-2678;-944;108;27
108;5696.868610268;-6230;-2234;-471;116;29
71;4253.572799777;-6312;-3654;-561;140;35
138;6287.627188105;-6108;-2564;-413;168;42
109;5046.611337796;-5716;-2205;-780;112;28
72;4074.929450156;-6023;-3230;-709;100;25
110;2061.208846155;-5314;-4756;-1963;108;27
139;4447.736686794;-5997;-3473;-718;112;28
13;9906.044043379;-6179;-3120;-486;224;56
73;4651.307469487;-6238;-1801;-445;92;23
140;1551.808396683;-5435;-4522;-2365;92;23
14;2723.422397566;-5880;-4602;-1667;96;24
74;2464.235440961;-5702;-3932;-1623;88;22
111;6177.52255683;-6064;-4480;-1113;188;47
112;2727.358662837;-5987;-3923;-1254;84;21
15;3724.903839388;-6192;-3595;-897;116;29
75;4337.423092073;-6122;-3274;-871;120;30
113;1857.800566362;-4581;-4012;-2731;100;25
16;2193.334433859;-5759;-4765;-1708;108;27
141;9328.935104541;-6259;-2420;-271;208;52
76;4877.638700064;-6321;-3360;-814;112;28
142;3233.422516193;-5693;-3203;-1242;104;26
17;5466.612443104;-6150;-5007;-618;160;40
77;2814.380942549;-6234;-4336;-814;104;26
143;2124.914697547;-5086;-3463;-1913;88;22
18;1890.343757416;-5406;-4397;-2283;100;25
