run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count
125;0.014235435;-5912;-4501;-1104;148;37
126;0.04655346;-5780;-4047;-1474;148;37
93;0.081230102;-4898;-3866;-1987;148;37
62;0.085650154;-6390;-4825;-335;176;44
0;0.09644046;-6262;-3163;-534;188;47
127;0.044669017;-6262;-2817;-247;192;48
63;0.018870999;-6113;-2146;-482;136;34
1;0.017365891;-4812;-3688;-2347;96;24
128;0.008686031;-4432;-3986;-2752;96;24
64;0.009634356;-5373;-4713;-2164;100;25
129;0.018033967;-5549;-5156;-2162;96;24
94;0.041233114;-5542;-4515;-1894;156;39
2;0.030863286;-6095;-3441;-622;204;51
65;0.028427201;-6290;-4513;-453;180;45
95;0.016916514;-6544;-1578;-72;192;48
130;0.023208067;-6235;-5130;-364;240;60
66;0.010520673;-5120;-4727;-2456;140;35
96;0.023334645;-6538;-5264;-39;284;71
3;0.031014047;-5685;-4766;-1244;228;57
67;0.019840403;-5987;-2666;-911;108;27
97;0.013659307;-5357;-4669;-2046;120;30
131;0.034451932;-6056;-3670;-699;188;47
4;0.017045334;-5965;-4787;-653;204;51
98;0.009941283;-5407;-4280;-2048;104;26
68;0.027275344;-5947;-4495;-971;220;55
99;0.012831842;-5587;-4661;-1931;136;34
132;0.029893692;-6553;-4152;-25;416;104
100;0.011213073;-5457;-4012;-1607;136;34
69;0.014110275;-6117;-4296;-887;160;40
133;0.013975108;-6114;-4756;-408;200;50
5;0.042104471;-6496;-5040;-91;472;118
6;0.0113115;-5240;-3757;-1637;92;23
70;0.028811329;-6395;-4944;-281;208;52
101;0.030647244;-6418;-4510;-277;176;44
134;0.017837364;-6467;-1200;-226;108;27
102;0.010280113;-4540;-4110;-2777;80;20
7;0.017840997;-6278;-5662;-511;272;68
71;0.016368337;-5822;-3443;-805;180;45
8;0.008974341;-4992;-4821;-2484;112;28
135;0.03524097;-5971;-5498;-828;340;85
72;0.021860667;-5431;-4684;-1630;128;32
9;0.016668029;-5319;-5114;-2125;152;38
103;0.028137994;-6194;-5104;-574;236;59
136;0.009365335;-5412;-3482;-1532;96;24
104;0.012647828;-5706;-4784;-1095;200;50
10;0.015157463;-5314;-4724;-2380;100;25
73;0.019398325;-6430;-1837;-134;184;46
137;0.012647826;-5900;-5261;-1446;192;48
105;0.017216227;-6201;-4376;-561;184;46
74;0.017537989;-5750;-3932;-1449;128;32
11;0.022159548;-5755;-4239;-1312;120;30
106;0.010390878;-5740;-5085;-1805;140;35
138;0.022345549;-5146;-4678;-2466;140;35
75;0.013684251;-5383;-5295;-2082;160;40
139;0.014211911;-5338;-5284;-1886;160;40
107;0.019458539;-6099;-4624;-777;272;68
108;0.009580666;-4951;-3469;-2362;56;14
12;0.035043632;-6527;-3626;-39;260;65
76;0.026650528;-6416;-4182;-170;264;66
140;0.024102709;-6190;-4395;-981;180;45
109;0.010388528;-4959;-4194;-2632;136;34
13;0.009547655;-5288;-4825;-2609;96;24
77;0.011332028;-5615;-3749;-1532;92;23
14;0.010707806;-5530;-4408;-1388;140;35
78;0.011318283;-5838;-4037;-1194;128;32
141;0.020852523;-6051;-5159;-849;184;46
15;0.01706919;-5790;-4418;-1713;136;34
142;0.013342161;-4711;-4041;-2968;96;24
110;0.038142309;-6373;-5307;-170;228;57
79;0.024850357;-6221;-3479;-393;144;36
143;0.011589093;-6116;-4802;-648;148;37
111;0.010408794;-5585;-4559;-1308;120;30
16;0.023988973;-5849;-4936;-1442;224;56
144;0.012470573;-6034;-5161;-761;188;47
112;0.011319991;-5984;-1825;-606;92;23
113;0.010344009;-5237;-3043;-1610;108;27
80;0.028035354;-6037;-3787;-450;240;60
145;0.016949693;-5162;-4296;-1579;132;33
17;0.024610241;-6173;-4492;-663;280;70
146;0.014229157;-5410;-5023;-2461;100;25
114;0.019703111;-6311;-4686;-371;196;49
81;0.021703092;-5888;-3868;-1103;136;34
147;0.015772539;-5938;-2710;-807;104;26
18;0.027545788;-6399;-2469;-106;212;53
82;0.018730706;-6265;-4638;-600;204;51
148;0.011484299;-5752;-5257;-1712;148;37
115;0.027956291;-6491;-4709;-90;200;50
19;0.015180664;-6261;-4866;-379;216;54
149;0.014031411;-6094;-5220;-774;172;43
20;0.023210422;-6125;-1912;-452;172;43
83;0.037709869;-6423;-5273;-233;276;69
150;0.021908335;-5610;-4676;-922;228;57
116;0.035749729;-6408;-5769;-206;292;73
84;0.009053559;-4735;-4083;-2290;100;25
21;0.019639487;-6499;-4654;-158;304;76
117;0.015750709;-6116;-4242;-1070;144;36
151;0.019170327;-6298;-4829;-532;284;71
118;0.015727281;-5215;-5014;-1963;116;29
85;0.027335812;-6464;-3459;-139;172;43
22;0.020575799;-6421;-2388;-174;148;37
152;0.0193377;-6415;-3536;-200;200;50
86;0.011538483;-5402;-3668;-1566;156;39
119;0.017536869;-5498;-4530;-2338;124;31
153;0.013104167;-4914;-3501;-1948;92;23
23;0.017000255;-5515;-4480;-1523;228;57
87;0.011017;-5476;-4573;-1494;148;37
120;0.021421255;-6464;-2778;-90;196;49
88;0.019465059;-5307;-4581;-2310;136;34
154;0.024404045;-6415;-5292;-115;308;77
24;0.029404428;-6517;-3734;-119;320;80
121;0.0119414;-6039;-4952;-1134;140;35
155;0.010328189;-5412;-5384;-1885;152;38
89;0.020060595;-6239;-3346;-608;172;43
25;0.014899191;-5746;-4576;-1541;160;40
122;0.015181687;-6407;-1555;-197;140;35
90;0.014308636;-6291;-2750;-518;124;31
156;0.02646401;-6401;-911;-112;140;35
26;0.018545719;-5289;-4411;-1775;144;36
123;0.017101841;-6246;-5454;-946;172;43
91;0.015962527;-5965;-3097;-660;152;38
124;0.013577924;-6408;-1581;-195;128;32
157;0.020976302;-5624;-5262;-1293;288;72
27;0.024292307;-5603;-5477;-1649;140;35
187;0.016819051;-5978;-4828;-915;124;31
92;0.02218569;-4919;-3673;-1956;152;38
158;0.019754749;-5928;-4646;-683;228;57
28;0.014485454;-6325;-4591;-601;136;34
31;0.01621067;-5874;-5268;-1313;184;46
159;0.016123323;-5482;-3966;-1374;164;41
29;0.016675559;-6151;-3432;-712;144;36
188;0.038401298;-6136;-3841;-536;280;70
32;0.0222709;-6211;-4135;-497;184;46
160;0.022937796;-5432;-4555;-1715;160;40
30;0.026068753;-6278;-3196;-401;284;71
189;0.016359754;-5530;-5059;-2185;104;26
33;0.024242184;-6551;-2862;-26;392;98
171;0.018334538;-5906;-5207;-1041;176;44
190;0.02682227;-6300;-4282;-744;132;33
34;0.020814537;-5523;-4927;-1855;104;26
172;0.015825652;-5675;-4773;-2513;192;48
191;0.010953426;-5810;-3864;-1570;112;28
161;0.047478465;-5849;-4523;-1073;372;93
173;0.008966708;-4694;-4225;-3154;92;23
35;0.012474463;-5941;-4957;-1538;140;35
192;0.014977675;-5852;-4244;-1027;156;39
174;0.024482731;-6366;-5298;-441;264;66
162;0.030542921;-5814;-5219;-1440;264;66
36;0.031390537;-6290;-4353;-316;208;52
193;0.024688063;-5855;-5299;-879;296;74
175;0.015857715;-5614;-5230;-1552;152;38
163;0.010768516;-5511;-5335;-2340;168;42
37;0.010757651;-6575;-49;-3;44;11
194;0.013314823;-5185;-4581;-2190;124;31
38;0.018732284;-5492;-4323;-1622;144;36
176;0.027421856;-6075;-5225;-526;204;51
164;0.028520993;-6139;-4623;-710;244;61
195;0.026496798;-6228;-4089;-679;212;53
39;0.016404619;-5595;-4466;-1789;96;24
165;0.014283474;-5271;-4673;-2287;128;32
