run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;sequence_file_path
25;311.998177367;-4334;-3352;-6064;26;13;../results/snrpa_100_2_1_25_100//solve25_sequences.csv
34;316.78585323;-6577;-21;-6;6;3;../results/snrpa_100_2_1_25_100//solve34_sequences.csv
75;682.865132084;-5151;-3158;-3894;30;15;../results/snrpa_100_2_1_25_100//solve75_sequences.csv
0;788.012813487;-5474;-2931;-3070;34;17;../results/snrpa_100_2_1_25_100//solve0_sequences.csv
37;1058.83542252;-5762;-3056;-2594;36;18;../results/snrpa_100_2_1_25_100//solve37_sequences.csv
62;1165.729368794;-5761;-1738;-1264;26;13;../results/snrpa_100_2_1_25_100//solve62_sequences.csv
26;1080.676431854;-5656;-2697;-2476;34;17;../results/snrpa_100_2_1_25_100//solve26_sequences.csv
31;1417.426406917;-6129;-1810;-975;36;18;../results/snrpa_100_2_1_25_100//solve31_sequences.csv
50;1805.329467184;-6295;-1418;-746;36;18;../results/snrpa_100_2_1_25_100//solve50_sequences.csv
35;1734.551787767;-6123;-1777;-1036;36;18;../results/snrpa_100_2_1_25_100//solve35_sequences.csv
1;1263.500122642;-5680;-2493;-2124;36;18;../results/snrpa_100_2_1_25_100//solve1_sequences.csv
38;1190.488338863;-6141;-2036;-1252;30;15;../results/snrpa_100_2_1_25_100//solve38_sequences.csv
63;1374.205461474;-6222;-2074;-1049;32;16;../results/snrpa_100_2_1_25_100//solve63_sequences.csv
76;1932.638764925;-6199;-1690;-836;38;19;../results/snrpa_100_2_1_25_100//solve76_sequences.csv
2;575.903551327;-4833;-2342;-3532;24;12;../results/snrpa_100_2_1_25_100//solve2_sequences.csv
27;1511.719406955;-5928;-2307;-1643;34;17;../results/snrpa_100_2_1_25_100//solve27_sequences.csv
32;1571.975750168;-6232;-1046;-674;32;16;../results/snrpa_100_2_1_25_100//solve32_sequences.csv
51;1360.343089501;-6145;-1485;-799;28;14;../results/snrpa_100_2_1_25_100//solve51_sequences.csv
3;696.142542671;-5099;-3914;-4181;42;21;../results/snrpa_100_2_1_25_100//solve3_sequences.csv
64;1065.012796521;-5840;-2340;-1970;34;17;../results/snrpa_100_2_1_25_100//solve64_sequences.csv
77;1022.159612265;-5880;-2035;-1860;28;14;../results/snrpa_100_2_1_25_100//solve77_sequences.csv
4;549.157397844;-5142;-3680;-5061;30;15;../results/snrpa_100_2_1_25_100//solve4_sequences.csv
36;1857.774401044;-6395;-735;-263;30;15;../results/snrpa_100_2_1_25_100//solve36_sequences.csv
28;1220.862066562;-6180;-1844;-1239;28;14;../results/snrpa_100_2_1_25_100//solve28_sequences.csv
39;1915.272085315;-6476;-698;-276;28;14;../results/snrpa_100_2_1_25_100//solve39_sequences.csv
78;604.101170061;-5261;-3983;-4447;36;18;../results/snrpa_100_2_1_25_100//solve78_sequences.csv
65;732.49075668;-5631;-3453;-3718;28;14;../results/snrpa_100_2_1_25_100//solve65_sequences.csv
33;1578.869398641;-6255;-2037;-1039;34;17;../results/snrpa_100_2_1_25_100//solve33_sequences.csv
5;798.049568179;-5835;-3286;-3010;30;15;../results/snrpa_100_2_1_25_100//solve5_sequences.csv
87;965.474407056;-5687;-2607;-2337;30;15;../results/snrpa_100_2_1_25_100//solve87_sequences.csv
40;713.407087765;-5859;-4647;-3954;38;19;../results/snrpa_100_2_1_25_100//solve40_sequences.csv
52;1722.744727183;-6234;-2416;-948;36;18;../results/snrpa_100_2_1_25_100//solve52_sequences.csv
79;731.883113829;-5438;-3928;-4243;30;15;../results/snrpa_100_2_1_25_100//solve79_sequences.csv
66;806.060270806;-5347;-3146;-3361;28;14;../results/snrpa_100_2_1_25_100//solve66_sequences.csv
80;797.86700462;-5683;-3963;-2813;34;17;../results/snrpa_100_2_1_25_100//solve80_sequences.csv
88;959.337373901;-5535;-2868;-2800;40;20;../results/snrpa_100_2_1_25_100//solve88_sequences.csv
29;1913.127143925;-6183;-1547;-661;34;17;../results/snrpa_100_2_1_25_100//solve29_sequences.csv
6;1418.406214623;-6199;-1098;-642;26;13;../results/snrpa_100_2_1_25_100//solve6_sequences.csv
53;1206.070085388;-6048;-1536;-1152;26;13;../results/snrpa_100_2_1_25_100//solve53_sequences.csv
43;1698.966519008;-6255;-2958;-1344;44;22;../results/snrpa_100_2_1_25_100//solve43_sequences.csv
41;1412.50821596;-5915;-2832;-2059;42;21;../results/snrpa_100_2_1_25_100//solve41_sequences.csv
67;1292.399411031;-6165;-2825;-1948;38;19;../results/snrpa_100_2_1_25_100//solve67_sequences.csv
81;748.360282346;-5729;-3594;-3398;32;16;../results/snrpa_100_2_1_25_100//solve81_sequences.csv
30;517.974673531;-4917;-3765;-5373;34;17;../results/snrpa_100_2_1_25_100//solve30_sequences.csv
89;1106.80735896;-5925;-2268;-1958;30;15;../results/snrpa_100_2_1_25_100//solve89_sequences.csv
71;626.391559839;-6497;-112;-62;14;7;../results/snrpa_100_2_1_25_100//solve71_sequences.csv
7;1311.268094763;-6296;-2878;-2031;36;18;../results/snrpa_100_2_1_25_100//solve7_sequences.csv
42;1180.256417472;-5931;-3180;-2094;48;24;../results/snrpa_100_2_1_25_100//solve42_sequences.csv
44;1363.633047616;-5957;-2467;-1705;36;18;../results/snrpa_100_2_1_25_100//solve44_sequences.csv
82;1243.582825698;-6006;-2431;-1592;34;17;../results/snrpa_100_2_1_25_100//solve82_sequences.csv
90;1152.183955402;-6055;-2095;-1728;28;14;../results/snrpa_100_2_1_25_100//solve90_sequences.csv
68;1690.871125872;-6411;-824;-350;28;14;../results/snrpa_100_2_1_25_100//solve68_sequences.csv
54;2108.118588435;-6504;-1207;-276;34;17;../results/snrpa_100_2_1_25_100//solve54_sequences.csv
72;1275.090621576;-6547;-160;-49;22;11;../results/snrpa_100_2_1_25_100//solve72_sequences.csv
83;832.601260567;-5379;-1793;-2079;22;11;../results/snrpa_100_2_1_25_100//solve83_sequences.csv
55;540.677532993;-5474;-4275;-4492;30;15;../results/snrpa_100_2_1_25_100//solve55_sequences.csv
69;725.753048955;-5025;-4177;-4539;40;20;../results/snrpa_100_2_1_25_100//solve69_sequences.csv
46;1393.286421748;-5972;-1703;-1149;34;17;../results/snrpa_100_2_1_25_100//solve46_sequences.csv
84;419.085698964;-5296;-4337;-5897;30;15;../results/snrpa_100_2_1_25_100//solve84_sequences.csv
8;1796.759007719;-6388;-1241;-748;32;16;../results/snrpa_100_2_1_25_100//solve8_sequences.csv
45;1605.028124751;-6206;-2008;-1118;34;17;../results/snrpa_100_2_1_25_100//solve45_sequences.csv
73;853.485622784;-5578;-2572;-2891;28;14;../results/snrpa_100_2_1_25_100//solve73_sequences.csv
56;1034.279547064;-5763;-2319;-2057;30;15;../results/snrpa_100_2_1_25_100//solve56_sequences.csv
47;1016.455295978;-5704;-2951;-2580;30;15;../results/snrpa_100_2_1_25_100//solve47_sequences.csv
70;1029.729430693;-5625;-3071;-2480;34;17;../results/snrpa_100_2_1_25_100//solve70_sequences.csv
91;1947.28999808;-6369;-1228;-510;34;17;../results/snrpa_100_2_1_25_100//solve91_sequences.csv
85;1030.229643048;-5022;-3493;-3237;46;23;../results/snrpa_100_2_1_25_100//solve85_sequences.csv
48;862.371085526;-5645;-3108;-2904;32;16;../results/snrpa_100_2_1_25_100//solve48_sequences.csv
57;388.862095979;-4952;-3828;-5139;26;13;../results/snrpa_100_2_1_25_100//solve57_sequences.csv
9;1131.986644577;-6067;-1889;-1480;26;13;../results/snrpa_100_2_1_25_100//solve9_sequences.csv
58;658.039333916;-5475;-3163;-3941;26;13;../results/snrpa_100_2_1_25_100//solve58_sequences.csv
92;886.373658774;-5528;-2890;-3046;32;16;../results/snrpa_100_2_1_25_100//solve92_sequences.csv
86;1143.973160838;-5537;-1922;-1787;30;15;../results/snrpa_100_2_1_25_100//solve86_sequences.csv
