run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;sequence_file_path
25;5347.931239975;-5456;-3326;-3783;32;16;../results/snrpa_100_3_1_50_100_os//solve25_sequences.csv
50;5883.762990268;-5783;-2545;-2595;28;14;../results/snrpa_100_3_1_50_100_os//solve50_sequences.csv
18;5934.833650557;-5473;-3180;-3161;32;16;../results/snrpa_100_3_1_50_100_os//solve18_sequences.csv
87;6373.208639219;-5944;-2481;-2359;28;14;../results/snrpa_100_3_1_50_100_os//solve87_sequences.csv
0;6522.765967503;-5842;-2925;-2578;32;16;../results/snrpa_100_3_1_50_100_os//solve0_sequences.csv
12;6554.94940223;-5963;-2325;-1853;32;16;../results/snrpa_100_3_1_50_100_os//solve12_sequences.csv
62;6922.411984471;-5975;-2659;-2348;52;26;../results/snrpa_100_3_1_50_100_os//solve62_sequences.csv
75;7684.161434842;-6465;-364;-199;18;9;../results/snrpa_100_3_1_50_100_os//solve75_sequences.csv
26;4762.090684818;-5104;-2634;-3421;26;13;../results/snrpa_100_3_1_50_100_os//solve26_sequences.csv
19;5594.064911398;-5607;-3037;-3182;26;13;../results/snrpa_100_3_1_50_100_os//solve19_sequences.csv
76;4054.978989594;-5132;-3664;-4397;30;15;../results/snrpa_100_3_1_50_100_os//solve76_sequences.csv
1;5632.671261114;-5843;-2402;-2193;26;13;../results/snrpa_100_3_1_50_100_os//solve1_sequences.csv
51;7260.834418575;-6099;-1528;-1204;26;13;../results/snrpa_100_3_1_50_100_os//solve51_sequences.csv
63;6288.666700074;-5993;-3162;-2365;38;19;../results/snrpa_100_3_1_50_100_os//solve63_sequences.csv
88;7641.968982641;-6128;-2007;-880;34;17;../results/snrpa_100_3_1_50_100_os//solve88_sequences.csv
13;7887.955546223;-6322;-1152;-671;28;14;../results/snrpa_100_3_1_50_100_os//solve13_sequences.csv
27;7281.261567004;-6080;-2105;-1181;52;26;../results/snrpa_100_3_1_50_100_os//solve27_sequences.csv
2;5727.730741316;-5854;-2966;-2617;28;14;../results/snrpa_100_3_1_50_100_os//solve2_sequences.csv
20;6419.327850153;-6046;-2279;-1949;32;16;../results/snrpa_100_3_1_50_100_os//solve20_sequences.csv
77;7516.927137003;-6283;-895;-617;22;11;../results/snrpa_100_3_1_50_100_os//solve77_sequences.csv
52;6799.245114932;-6034;-2203;-1854;26;13;../results/snrpa_100_3_1_50_100_os//solve52_sequences.csv
