run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;uct_search_count
96;1686.162972809;-5275;-2895;-3223;28;14;2874510
50;1924.836854711;-6430;-950;-365;32;16;2995907
93;2045.093062269;-6521;-551;-78;34;17;2113645
0;2047.585927431;-6203;-1805;-910;34;17;2956002
81;2166.146185484;-6351;-2339;-614;36;18;3240551
90;2166.446784296;-6158;-2554;-1571;36;18;3411302
75;2287.097506279;-6135;-1946;-1162;38;19;3832664
87;2411.236708327;-6277;-2732;-1563;40;20;4920458
1;480.571930641;-6571;-19;-6;8;4;1580690
97;1927.408910703;-5723;-3588;-3206;32;16;3842352
82;2045.858598556;-6042;-2875;-1828;34;17;3805199
94;2289.0654081;-5503;-4639;-4143;38;19;4349945
2;1806.650340065;-4828;-3275;-3936;30;15;3510506
91;2286.668839353;-6061;-2776;-1591;38;19;3454892
88;2407.345404844;-5932;-3092;-1673;40;20;3196823
76;2648.255272595;-6159;-1935;-678;44;22;4063942
51;3012.168547495;-6034;-3612;-1619;50;25;4441569
98;1566.807819597;-4892;-3391;-4477;26;13;2740784
3;1804.505077907;-6330;-1524;-661;30;15;2688274
92;1926.489081733;-6286;-1792;-733;32;16;2245666
83;2168.277072417;-5417;-3493;-3194;36;18;3833533
52;1564.234597931;-5947;-1467;-1117;26;13;2587439
99;1322.97982006;-6520;-415;-79;22;11;1340020
53;240.158180878;-6573;-7;-3;4;2;1100188
95;2527.105494101;-6236;-2559;-1119;42;21;4120252
77;1926.861964448;-5483;-2982;-3094;32;16;4332458
89;2046.318838593;-5895;-2329;-1510;34;17;4581617
84;1685.37169496;-6210;-952;-561;28;14;2800522
62;2045.955957793;-6109;-2419;-1198;34;17;2750604
4;2406.893284181;-6305;-1938;-613;40;20;3347536
68;2046.225223578;-6218;-3129;-1542;34;17;3156980
78;1926.955106138;-5444;-3808;-4489;32;16;5398775
54;2286.08241489;-6210;-1805;-802;38;19;3775950
59;2167.080206722;-6136;-2529;-1305;36;18;3397158
56;2289.409419786;-5432;-4273;-3725;38;19;4050624
85;1925.977251774;-6046;-2049;-1599;32;16;2833065
69;1443.797129469;-6473;-572;-144;24;12;1657925
63;1805.669702118;-5440;-2561;-2246;30;15;2880810
5;2167.208841583;-5473;-3073;-2341;36;18;3501044
55;1926.309136412;-6343;-1261;-488;32;16;2008109
57;1805.516584184;-5740;-2998;-2106;30;15;3469233
60;1925.338851086;-5951;-2675;-1817;32;16;3006355
79;2406.335197528;-6400;-1142;-302;40;20;2448876
86;1688.005118813;-5246;-3474;-4109;28;14;3455741
64;2049.133999242;-5554;-4000;-3534;34;17;3386788
70;2649.467967185;-6013;-2516;-1023;44;22;4469500
61;1686.387558264;-5222;-3088;-3097;28;14;2657762
6;2169.787592583;-5733;-4166;-3553;36;18;3879217
80;1806.712915734;-5652;-3715;-2779;30;15;2935737
58;2288.521086198;-5794;-3135;-1812;38;19;3583937
25;2527.441467434;-6033;-2399;-923;42;21;3677905
71;1926.539604704;-5631;-3116;-2831;32;16;3588707
7;1566.393440252;-4613;-2998;-4581;26;13;2972837
73;1808.106402128;-5490;-3938;-3780;30;15;3534844
67;2168.265065942;-6209;-2226;-1391;36;18;4236109
66;2408.870912216;-5906;-4299;-2911;40;20;4687398
74;2047.797878285;-5889;-2802;-2072;34;17;3433182
26;1926.77619828;-5325;-3228;-2928;32;16;4021345
65;3370.981130597;-6335;-2978;-703;56;28;4741343
72;2046.6567098;-5784;-2160;-1515;34;17;3117062
8;2047.437277106;-5299;-3161;-3197;34;17;3569597
46;1809.435327913;-5250;-3018;-3558;30;15;4404075
43;2166.118213759;-5895;-2312;-1484;36;18;3271077
37;2168.756026231;-5751;-4323;-3906;36;18;3647007
27;1806.509786073;-5412;-3575;-3647;30;15;3788394
40;2165.334729065;-6352;-1500;-808;36;18;3259251
41;2168.896049455;-6451;-1153;-402;36;18;4059804
48;2288.2324276;-5658;-3846;-3291;38;19;3432628
9;1689.088165737;-5126;-4761;-5841;28;14;3334799
44;1447.178101992;-4257;-3520;-5908;24;12;3255033
38;1807.130583738;-4959;-3081;-3695;30;15;3494565
47;1925.915615046;-5522;-3147;-3056;32;16;4136422
28;1924.069259276;-6572;-450;-41;32;16;2550763
42;1684.490837729;-6236;-2556;-1562;28;14;2190616
49;1685.287398496;-5520;-3076;-2879;28;14;2935942
45;2287.790612206;-6076;-2749;-1517;38;19;3088944
10;2045.733765237;-6084;-2256;-1391;34;17;2924058
39;1689.772529989;-5053;-2919;-3894;28;14;4463571
31;2046.755685198;-5620;-3475;-3421;34;17;3472746
29;2047.493227357;-5675;-3074;-2590;34;17;3149732
30;1684.261343704;-6243;-1334;-810;28;14;2948221
12;2887.801375492;-6257;-2639;-897;48;24;4108973
35;1445.850872895;-4880;-3466;-4732;24;12;3280483
18;2528.280033167;-6253;-3458;-1242;42;21;2870259
11;2285.558672457;-6517;-1141;-222;38;19;2367041
34;3251.141626192;-6023;-4014;-1770;54;27;4646043
36;2167.545366504;-5837;-4197;-2587;36;18;3518247
15;2170.041054839;-4950;-3858;-3925;36;18;4941655
32;2646.240568053;-6471;-2094;-384;44;22;3244977
13;2167.036780249;-5644;-3106;-2620;36;18;3315496
21;1804.776316569;-6079;-2479;-1839;30;15;2748023
20;1805.415840525;-5957;-2442;-1989;30;15;3082861
19;2166.302243539;-6116;-2767;-1487;36;18;3248009
14;1564.230361489;-6018;-1226;-893;26;13;2268919
23;1804.740658172;-6156;-1358;-771;30;15;3387237
16;2526.737664159;-6362;-2014;-744;42;21;4914058
33;2166.23838241;-5797;-2636;-2102;36;18;5299391
24;1445.257399169;-4862;-2914;-4282;24;12;3793125
17;2768.207589649;-6380;-1873;-543;46;23;4665846
22;2527.167089242;-6138;-3264;-1229;42;21;6771949
