run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;uct_search_count
62;1561.298708723;-6025;-1827;-832;52;13;840439
0;1801.773453526;-6201;-1455;-457;60;15;995538
187;1921.905550946;-6081;-1537;-549;64;16;814742
125;2402.388862239;-5853;-2669;-1034;80;20;1241685
63;1561.480623154;-6072;-1580;-746;52;13;826258
1;1801.905373792;-6231;-1479;-490;60;15;845171
188;1802.52920471;-5692;-3215;-1542;60;15;1043983
126;1322.20709126;-4485;-2248;-2566;44;11;1223613
64;1681.79398277;-5865;-2502;-1116;56;14;1117758
2;1442.083569318;-5449;-2776;-1900;48;12;873983
127;1441.290071389;-5896;-1647;-881;48;12;745036
189;1921.746385345;-6057;-1969;-983;64;16;810499
3;1200.731644253;-6528;-237;-50;40;10;393709
190;720.445932497;-6557;-88;-39;24;6;287485
65;2163.904485071;-5584;-3466;-2182;72;18;1909422
128;2162.834454151;-5305;-3118;-1940;72;18;1788381
4;1442.992433217;-4591;-3092;-3291;48;12;1575405
191;1683.438084742;-5371;-2585;-2154;56;14;1523963
129;1441.24748393;-6246;-1175;-437;48;12;449939
66;1802.652808892;-5227;-3245;-1868;60;15;1414630
5;1441.609054708;-5631;-1898;-1222;48;12;762552
192;2041.441482777;-6446;-986;-200;68;17;700308
130;1681.986978682;-5840;-2352;-1212;56;14;996268
67;1682.138275677;-5774;-2256;-1378;56;14;1039443
6;1801.230741781;-6271;-1583;-554;60;15;998025
193;1681.807680492;-6109;-2120;-955;56;14;973021
68;1562.046202515;-5155;-2208;-1878;52;13;1225923
7;1321.351140199;-6279;-1011;-430;44;11;501306
131;1802.599465372;-5362;-2362;-1889;60;15;1441771
194;1681.933286705;-6253;-2059;-809;56;14;811283
132;1200.800723344;-6519;-387;-168;40;10;369250
69;1801.890716874;-5770;-2190;-1099;60;15;1001850
8;1803.085602017;-5288;-3387;-2632;60;15;1463328
195;1441.610184815;-6041;-1219;-517;48;12;620763
